gobject-introspection-runtime 1.86.0-2.1
gocryptfs 2.6.1-1.1
goverlay 1.7.5-1.1
gperftools 2.18.1-1.1
gpgme 2.0.1-3.1
gpgmepp 2.0.0-2.1
gpm 1.20.7.r38.ge82d1a6-6.1
graphene 1.10.8-2.1
graphite 1:1.3.14-6
grep 3.12-2.1
groff 1.24.1-1.1
grub 2:2.14-1.1
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsm 1.0.24-1.1
gssdp 1.6.4-1.1
gst-plugin-pipewire 1:1.6.2-1.1
gst-plugins-bad-libs 1.28.1-2.1
gst-plugins-base 1.28.1-2.1
gst-plugins-base-libs 1.28.1-2.1
gstreamer 1.28.1-2.1
gtest 1.17.0-2.1
gtk-update-icon-cache 1:4.20.3-1.1
gtk3 1:3.24.51-1.1
gtk4 1:4.20.3-1.1
guile 3.0.11-1.1
gupnp 1:1.6.9-1.1
gupnp-igd 1.6.0-2.1
gvfs 1.58.3-1
gvfs-mtp 1.58.3-1
gvfs-nfs 1.58.3-1
gvfs-smb 1.58.3-1
gwenview 25.12.3-1.1
gzip 1.14-2
harfbuzz 13.2.1-1.1
harfbuzz-icu 13.2.1-1.1
heroic-games-launcher 2.20.1-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1.1
highway 1.3.0-2.1
htop 3.4.1-1.1
hunspell 1.7.2-3.1
hwdata 0.405-1
hwloc 2.13.0-1.1
hyphen 2.8.8-6.2
i2c-tools 4.4-4.1
iana-etc 20260306-1
icu 78.3-1.1
iio-sensor-proxy 3.9-1.1
ijs 0.35-6.1
imath 3.2.2-3.1
incus 6.22.0-1.1
incus-tools 6.22.0-1.1
incus-ui 0.19.9-1.1
inetutils 2.7-2.1
iniparser 4.2.6-2.1
intel-gmmlib 22.9.0-2.1
intel-media-driver 25.4.6-1.2
intel-ucode 20260227-1
iperf3 3.20-1.1
iproute2 6.19.0-2.1
iptables-nft 1:1.8.11-2.1
iputils 20250605-1.1
iso-codes 4.20.1-1
jansson 2.15.0-1.1
jasper 4.2.8-1.1
jbig2dec 0.20-1.1
jbigkit 2.1-8.1
jq 1.8.1-1.1
json-c 0.18-2.1
json-glib 1.10.8-1.1
jsoncpp 1.9.6-3.3
jupiter-hw-support 20260211.1-3
kaccounts-integration 25.12.3-1.1
kactivitymanagerd 6.6.3-1.1
karchive 6.24.0-2.1
kate 25.12.3-1.1
kauth 6.24.0-2.1
kbd 2.9.0-1.1
kbookmarks 6.24.0-2.1
kcmutils 6.24.0-2.1
kcodecs 6.24.0-2.1
kcolorpicker 0.3.1-5
kcolorscheme 6.24.0-1.1
kcompletion 6.24.0-2.1
kconfig 6.24.0-2.1
kconfigwidgets 6.24.0-2.1
kcoreaddons 6.24.0-2.1
kcrash 6.24.0-2.1
kdbusaddons 6.24.0-2.1
kde-cli-tools 6.6.3-1.1
kde-gtk-config 6.6.3-1.1
kdeclarative 6.24.0-2.1
kdecoration 6.6.3-1.1
kded 6.24.0-2.1
kdegraphics-mobipocket 25.12.3-1.1
kdegraphics-thumbnailers 25.12.3-1.1
kdenetwork-filesharing 25.12.3-1.1
kdeplasma-addons 6.6.3-1.1
kdesu 6.24.0-2.1
kdnssd 6.24.0-2.1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3.1
keyutils 1.6.3-3.1
kfilemetadata 6.24.0-2.1
kglobalaccel 6.24.0-2.1
